"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","50th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"PHE","Forecast","Midlands","infections_cum",178173.301778993,88701.6971109491,102717.012639484,140878.57859392,229324.164085783,331570.279755605,469111.20309454,469111.20309454,12,4,2020,19,3,2020
"PHE","Forecast","Midlands","infections_cum",211569.585484414,105428.592260317,121027.510967385,165670.614771549,272542.978847378,392744.66349221,544345.4792929,544345.4792929,12,4,2020,20,3,2020
"PHE","Forecast","Midlands","infections_cum",249485.015644685,125142.086016251,142355.084360085,195968.434472848,322945.014055037,460812.682943734,633808.929199373,633808.929199373,12,4,2020,21,3,2020
"PHE","Forecast","Midlands","infections_cum",293424.308563531,147922.337832834,169050.185505561,231596.972477846,381372.378377273,543642.266213426,753366.623238553,753366.623238553,12,4,2020,22,3,2020
"PHE","Forecast","Midlands","infections_cum",347022.68471093,174519.537687988,201194.2668218,273130.178293137,448971.10519291,644027.950189173,888535.029276778,888535.029276778,12,4,2020,23,3,2020
"PHE","Forecast","Midlands","infections_cum",381035.922007395,192583.039650137,220561.702978848,299777.725133533,492937.982165037,698949.922492754,967487.69506472,967487.69506472,12,4,2020,24,3,2020
"PHE","Forecast","Midlands","infections_cum",391326.665898302,196331.582371197,227850.390602963,306368.561243563,505047.872558538,720581.086259101,988653.289875117,988653.289875117,12,4,2020,25,3,2020
"PHE","Forecast","Midlands","infections_cum",399283.419226827,198537.402454008,232556.211857935,315230.537646072,516461.277877142,735651.378920452,1023394.13838177,1023394.13838177,12,4,2020,26,3,2020
"PHE","Forecast","Midlands","infections_cum",408956.361338815,201065.872833184,238762.780786401,321648.540835528,529689.7969688,760949.608746689,1091918.95997918,1091918.95997918,12,4,2020,27,3,2020
"PHE","Forecast","Midlands","infections_cum",419512.588625825,204509.421827343,245604.594870996,328415.069768922,543447.953621754,781314.605206959,1150328.02623436,1150328.02623436,12,4,2020,28,3,2020
"PHE","Forecast","Midlands","infections_cum",426828.561036682,208934.946698045,250582.54809502,335686.057513004,555051.030535227,793195.701180193,1173838.15569203,1173838.15569203,12,4,2020,29,3,2020
"PHE","Forecast","Midlands","infections_cum",436978.731772509,211332.784438151,255601.801706368,342294.920865466,567271.394291865,814012.674953672,1208100.18505556,1208100.18505556,12,4,2020,30,3,2020
"PHE","Forecast","Midlands","infections_cum",444094.972099039,213343.799216403,259474.523685925,348420.073593509,577654.319994115,824845.485128157,1220106.15046607,1220106.15046607,12,4,2020,31,3,2020
"PHE","Forecast","Midlands","infections_cum",450764.301440428,214991.525929778,261240.435341874,354317.218384757,586171.951678945,843443.925696189,1229730.38094972,1229730.38094972,12,4,2020,1,4,2020
"PHE","Forecast","Midlands","infections_cum",456249.177678569,216917.829103405,262669.432521538,357357.587803383,596073.768796539,855139.087253719,1238183.41708511,1238183.41708511,12,4,2020,2,4,2020
"PHE","Forecast","Midlands","infections_cum",461800.203537007,217845.983686451,265341.683891464,360647.600476644,603279.384593066,866882.316824768,1248328.80294506,1248328.80294506,12,4,2020,3,4,2020
"PHE","Forecast","Midlands","infections_cum",467781.370310661,218589.828623901,266472.797126363,365481.084639594,610374.190715376,879536.777452724,1261214.17338766,1261214.17338766,12,4,2020,4,4,2020
"PHE","Forecast","Midlands","infections_cum",471076.554546287,219186.41195046,267233.851818126,367591.506155147,617344.879020558,891773.421308368,1308589.46680493,1308589.46680493,12,4,2020,5,4,2020
"PHE","Forecast","Midlands","infections_cum",474450.06881951,219665.496229087,268178.983196437,369738.324184677,624282.479499025,904510.46971491,1310174.70500601,1310174.70500601,12,4,2020,6,4,2020
"PHE","Forecast","Midlands","infections_cum",475856.745718073,220050.690363661,269031.892198366,371059.284834328,630070.549334418,920349.859372332,1314984.72871781,1314984.72871781,12,4,2020,7,4,2020
"PHE","Forecast","Midlands","infections_cum",479502.248196962,220360.678246029,269938.071741988,374063.887981828,635067.903618337,942165.155547894,1331884.36572626,1331884.36572626,12,4,2020,8,4,2020
"PHE","Forecast","Midlands","infections_cum",485197.964052052,220736.487536513,270405.793697368,376243.832860802,640922.869840725,955878.318690085,1364707.27205349,1364707.27205349,12,4,2020,9,4,2020
"PHE","Forecast","Midlands","infections_cum",488070.614623664,221412.022127393,271712.26236663,378329.512944402,649062.595493741,967177.103384983,1397718.80411541,1397718.80411541,12,4,2020,10,4,2020
"PHE","Forecast","Midlands","infections_cum",491812.800053385,221993.476136165,271938.75741399,378731.988637357,652194.568995483,979348.797924271,1429767.25112311,1429767.25112311,12,4,2020,11,4,2020
"PHE","Forecast","Midlands","infections_cum",494280.037734892,222493.90611103,272047.924892988,380612.155148239,655985.237066814,990409.142290554,1460870.97412259,1460870.97412259,12,4,2020,12,4,2020
"PHE","Forecast","Midlands","infections_cum",497250.124805297,222917.497599813,272135.486735791,381424.43196831,657339.82853362,1003083.65336549,1479923.61022241,1479923.61022241,12,4,2020,13,4,2020
"PHE","Forecast","Midlands","infections_cum",501666.327495225,223007.014408219,272313.176875789,382705.338204298,659976.317010986,1006117.00379344,1490832.66736658,1490832.66736658,12,4,2020,14,4,2020
"PHE","Forecast","Midlands","infections_cum",504672.164857449,223079.006917322,272538.394019211,383907.585528057,661787.277561154,1007294.30162638,1501002.3400368,1501002.3400368,12,4,2020,15,4,2020
"PHE","Forecast","Midlands","infections_cum",506786.742083011,223136.905408326,272730.404628036,386161.150287343,663612.710902739,1008293.89244395,1510484.74630812,1510484.74630812,12,4,2020,16,4,2020
"PHE","Forecast","Midlands","infections_cum",508334.009625507,223183.469083117,272911.774978901,386495.027243298,666669.896640553,1012444.1916453,1519406.50631267,1519406.50631267,12,4,2020,17,4,2020
"PHE","Forecast","Midlands","infections_cum",509958.782771534,223220.917075327,273214.615685981,386691.747754346,668119.524202284,1024060.9835014,1527799.81963557,1527799.81963557,12,4,2020,18,4,2020
"PHE","Forecast","Midlands","infections_cum",511198.377634911,223251.034051837,273687.762039985,386878.827113707,671275.580542244,1025292.95198911,1535695.26277228,1535695.26277228,12,4,2020,19,4,2020
"PHE","Forecast","Midlands","infections_cum",512339.379865637,223275.255246036,273812.759647361,386962.152390597,673862.051226029,1025786.57100753,1543121.8150355,1543121.8150355,12,4,2020,20,4,2020
"PHE","Forecast","Midlands","infections_cum",512801.461895676,223294.73487884,273817.997310535,386977.323987914,675799.759162045,1032181.45949481,1550106.90000409,1550106.90000409,12,4,2020,21,4,2020
